zipcode,area
19120,PA
19124,PA
19143,PA
19111,PA
19134,PA
19720,PA
19020,PA
19446,PA
19149,PA
19140,PA
19382,PA
19320,PA
19702,PA
19104,PA
19067,PA
19711,PA
08081,PA
19148,PA
19380,PA
19145,PA
19335,PA
19464,PA
08053,PA
08021,PA
21921,PA
19403,PA
19144,PA
19131,PA
08054,PA
19401,PA
19139,PA
19082,PA
18974,PA
19805,PA
19136,PA
19460,PA
08094,PA
19701,PA
08012,PA
19426,PA
19808,PA
18966,PA
08080,PA
19121,PA
19132,PA
19147,PA
08096,PA
19083,PA
19063,PA
19128,PA
19013,PA
19146,PA
19709,PA
19047,PA
18951,PA
19154,PA
08016,PA
19152,PA
19115,PA
19116,PA
19135,PA
19002,PA
19138,PA
19087,PA
19038,PA
08046,PA
19141,PA
19114,PA
19026,PA
08003,PA
19713,PA
19151,PA
19142,PA
08043,PA
08105,PA
08075,PA
18940,PA
19050,PA
19454,PA
18901,PA
08055,PA
19119,PA
19133,PA
19053,PA
19468,PA
19810,PA
19130,PA
19355,PA
08060,PA
08088,PA
19802,PA
18944,PA
19064,PA
08104,PA
19438,PA
19406,PA
19150,PA
19018,PA
19125,PA
08109,PA
08002,PA
19348,PA
19023,PA
19103,PA
19122,PA
19006,PA
19803,PA
19014,PA
19007,PA
19010,PA
08057,PA
18914,PA
18902,PA
08015,PA
19040,PA
19008,PA
08028,PA
19061,PA
18976,PA
08052,PA
19027,PA
08110,PA
19090,PA
08085,PA
19422,PA
19073,PA
08077,PA
08034,PA
19342,PA
08108,PA
19440,PA
19804,PA
19046,PA
08505,PA
19054,PA
19057,PA
19363,PA
19465,PA
19001,PA
19341,PA
19015,PA
19428,PA
19707,PA
19801,PA
08033,PA
21901,PA
19044,PA
19126,PA
08062,PA
19473,PA
19056,PA
18969,PA
08103,PA
19107,PA
19462,PA
19703,PA
19525,PA
19809,PA
18938,PA
19055,PA
19425,PA
18964,PA
08107,PA
19096,PA
19390,PA
19123,PA
08030,PA
08069,PA
08070,PA
19036,PA
08009,PA
08318,PA
19003,PA
08048,PA
18960,PA
08004,PA
19153,PA
19030,PA
19344,PA
19106,PA
19734,PA
08031,PA
19312,PA
08010,PA
19086,PA
19060,PA
19475,PA
19078,PA
21911,PA
08079,PA
19129,PA
19350,PA
08051,PA
19352,PA
08322,PA
19444,PA
19081,PA
19021,PA
08106,PA
19118,PA
18954,PA
08093,PA
19806,PA
08071,PA
19072,PA
19317,PA
08083,PA
19004,PA
18073,PA
18929,PA
19079,PA
08098,PA
19085,PA
08022,PA
19137,PA
19311,PA
08066,PA
08078,PA
08090,PA
19343,PA
08312,PA
19033,PA
08640,PA
08086,PA
08035,PA
08102,PA
19807,PA
08065,PA
19075,PA
19070,PA
21904,PA
19095,PA
08084,PA
19365,PA
19333,PA
08068,PA
19012,PA
19032,PA
19076,PA
19301,PA
19041,PA
18925,PA
18947,PA
19034,PA
08036,PA
19127,PA
19074,PA
19066,PA
08344,PA
19362,PA
08059,PA
19520,PA
19330,PA
19025,PA
08562,PA
08091,PA
08049,PA
08007,PA
08343,PA
08518,PA
08027,PA
08029,PA
08056,PA
19102,PA
08515,PA
19094,PA
18977,PA
19373,PA
08089,PA
19029,PA
08554,PA
19717,PA
19022,PA
08641,PA
08097,PA
19383,PA
08063,PA
19310,PA
08045,PA
08061,PA
19043,PA
08026,PA
08020,PA
19706,PA
08067,PA
19716,PA
19372,PA
08328,PA
19374,PA
19319,PA
08041,PA
08001,PA
08511,PA
19345,PA
18946,PA
19358,PA
18980,PA
08014,PA
19730,PA
08023,PA
08032,PA
19017,PA
19731,PA
08095,PA
08072,PA
08073,PA
18933,PA
19316,PA
18913,PA
19367,PA
19477,PA
08039,PA
19457,PA
08038,PA
19113,PA
19733,PA
19375,PA
08074,PA
19442,PA
19710,PA
18912,PA
19736,PA
19732,PA
19112,PA
19735,PA
18936,PA
19109,PA
19110,PA
18934,PA
18991,PA
19048,PA
19049,PA
33510,Tampa
33511,Tampa
33523,Tampa
33525,Tampa
33527,Tampa
33534,Tampa
33540,Tampa
33541,Tampa
33542,Tampa
33543,Tampa
33544,Tampa
33545,Tampa
33547,Tampa
33548,Tampa
33549,Tampa
33556,Tampa
33558,Tampa
33559,Tampa
33563,Tampa
33565,Tampa
33566,Tampa
33567,Tampa
33569,Tampa
33570,Tampa
33572,Tampa
33573,Tampa
33576,Tampa
33578,Tampa
33579,Tampa
33584,Tampa
33592,Tampa
33594,Tampa
33596,Tampa
33598,Tampa
33602,Tampa
33603,Tampa
33604,Tampa
33605,Tampa
33606,Tampa
33607,Tampa
33609,Tampa
33610,Tampa
33611,Tampa
33612,Tampa
33613,Tampa
33614,Tampa
33615,Tampa
33616,Tampa
33617,Tampa
33618,Tampa
33619,Tampa
33620,Tampa
33621,Tampa
33624,Tampa
33625,Tampa
33626,Tampa
33629,Tampa
33633,Tampa
33634,Tampa
33635,Tampa
33637,Tampa
33647,Tampa
33650,Tampa
33655,Tampa
33660,Tampa
33662,Tampa
33663,Tampa
33664,Tampa
33701,Tampa
33702,Tampa
33703,Tampa
33704,Tampa
33705,Tampa
33706,Tampa
33707,Tampa
33708,Tampa
33709,Tampa
33710,Tampa
33711,Tampa
33712,Tampa
33713,Tampa
33714,Tampa
33715,Tampa
33716,Tampa
33729,Tampa
33730,Tampa
33755,Tampa
33756,Tampa
33759,Tampa
33760,Tampa
33761,Tampa
33762,Tampa
33763,Tampa
33764,Tampa
33765,Tampa
33767,Tampa
33769,Tampa
33770,Tampa
33771,Tampa
33772,Tampa
33773,Tampa
33774,Tampa
33776,Tampa
33777,Tampa
33778,Tampa
33781,Tampa
33782,Tampa
33785,Tampa
33786,Tampa
33801,Tampa
33803,Tampa
33805,Tampa
33809,Tampa
33810,Tampa
33811,Tampa
33812,Tampa
33813,Tampa
33815,Tampa
33825,Tampa
33827,Tampa
33830,Tampa
33834,Tampa
33841,Tampa
33843,Tampa
33849,Tampa
33852,Tampa
33857,Tampa
33860,Tampa
33865,Tampa
33867,Tampa
33870,Tampa
33872,Tampa
33873,Tampa
33875,Tampa
33876,Tampa
33890,Tampa
33917,Tampa
33946,Tampa
33947,Tampa
33948,Tampa
34201,Tampa
34202,Tampa
34203,Tampa
34205,Tampa
34207,Tampa
34208,Tampa
34209,Tampa
34210,Tampa
34211,Tampa
34212,Tampa
34215,Tampa
34217,Tampa
34219,Tampa
34221,Tampa
34222,Tampa
34223,Tampa
34224,Tampa
34228,Tampa
34229,Tampa
34231,Tampa
34232,Tampa
34233,Tampa
34234,Tampa
34235,Tampa
34236,Tampa
34237,Tampa
34238,Tampa
34239,Tampa
34240,Tampa
34241,Tampa
34242,Tampa
34243,Tampa
34249,Tampa
34251,Tampa
34266,Tampa
34269,Tampa
34275,Tampa
34285,Tampa
34286,Tampa
34287,Tampa
34288,Tampa
34289,Tampa
34291,Tampa
34292,Tampa
34293,Tampa
34606,Tampa
34607,Tampa
34608,Tampa
34609,Tampa
34610,Tampa
34613,Tampa
34614,Tampa
34637,Tampa
34638,Tampa
34639,Tampa
34652,Tampa
34653,Tampa
34654,Tampa
34655,Tampa
34667,Tampa
34668,Tampa
34669,Tampa
34677,Tampa
34683,Tampa
34684,Tampa
34685,Tampa
34688,Tampa
34689,Tampa
34690,Tampa
34691,Tampa
34695,Tampa
34698,Tampa
33004,Miami
33009,Miami
33010,Miami
33012,Miami
33013,Miami
33014,Miami
33015,Miami
33016,Miami
33018,Miami
33019,Miami
33020,Miami
33021,Miami
33023,Miami
33024,Miami
33025,Miami
33026,Miami
33027,Miami
33028,Miami
33029,Miami
33030,Miami
33031,Miami
33032,Miami
33033,Miami
33034,Miami
33035,Miami
33039,Miami
33054,Miami
33055,Miami
33056,Miami
33060,Miami
33062,Miami
33063,Miami
33064,Miami
33066,Miami
33067,Miami
33068,Miami
33069,Miami
33073,Miami
33076,Miami
33101,Miami
33106,Miami
33112,Miami
33122,Miami
33125,Miami
33126,Miami
33127,Miami
33128,Miami
33129,Miami
33130,Miami
33131,Miami
33132,Miami
33133,Miami
33134,Miami
33135,Miami
33136,Miami
33137,Miami
33138,Miami
33139,Miami
33140,Miami
33141,Miami
33142,Miami
33143,Miami
33144,Miami
33145,Miami
33146,Miami
33147,Miami
33149,Miami
33150,Miami
33151,Miami
33154,Miami
33155,Miami
33156,Miami
33157,Miami
33158,Miami
33160,Miami
33161,Miami
33162,Miami
33165,Miami
33166,Miami
33167,Miami
33168,Miami
33169,Miami
33170,Miami
33172,Miami
33173,Miami
33174,Miami
33175,Miami
33176,Miami
33177,Miami
33178,Miami
33179,Miami
33180,Miami
33181,Miami
33182,Miami
33183,Miami
33184,Miami
33185,Miami
33186,Miami
33187,Miami
33189,Miami
33190,Miami
33193,Miami
33194,Miami
33196,Miami
33198,Miami
33199,Miami
33206,Miami
33256,Miami
33257,Miami
33266,Miami
33283,Miami
33299,Miami
33301,Miami
33304,Miami
33305,Miami
33306,Miami
33308,Miami
33309,Miami
33311,Miami
33312,Miami
33313,Miami
33314,Miami
33315,Miami
33316,Miami
33317,Miami
33319,Miami
33321,Miami
33322,Miami
33323,Miami
33324,Miami
33325,Miami
33326,Miami
33327,Miami
33328,Miami
33330,Miami
33331,Miami
33332,Miami
33334,Miami
33351,Miami
33388,Miami
32713,Orlando
32720,Orlando
32723,Orlando
32724,Orlando
32725,Orlando
32726,Orlando
32728,Orlando
32735,Orlando
32738,Orlando
32744,Orlando
32701,Orlando
32703,Orlando
32757,Orlando
32763,Orlando
32764,Orlando
32707,Orlando
32708,Orlando
32709,Orlando
32776,Orlando
32714,Orlando
32778,Orlando
32730,Orlando
32732,Orlando
32746,Orlando
32750,Orlando
32751,Orlando
32765,Orlando
32766,Orlando
32771,Orlando
32773,Orlando
32779,Orlando
32789,Orlando
32792,Orlando
32798,Orlando
32801,Orlando
32803,Orlando
32804,Orlando
32805,Orlando
32806,Orlando
32807,Orlando
32808,Orlando
32809,Orlando
32810,Orlando
32811,Orlando
32812,Orlando
32814,Orlando
32816,Orlando
32817,Orlando
32818,Orlando
32819,Orlando
32820,Orlando
32821,Orlando
32822,Orlando
32824,Orlando
32825,Orlando
32826,Orlando
32827,Orlando
32828,Orlando
32829,Orlando
32830,Orlando
32831,Orlando
32832,Orlando
32833,Orlando
32834,Orlando
32835,Orlando
32836,Orlando
32837,Orlando
32839,Orlando
32887,Orlando
32897,Orlando
34731,Orlando
32712,Orlando
33848,Orlando
33896,Orlando
33897,Orlando
33898,Orlando
34759,Orlando
34714,Orlando
33823,Orlando
33836,Orlando
33837,Orlando
33838,Orlando
33839,Orlando
33844,Orlando
33850,Orlando
33868,Orlando
33880,Orlando
33881,Orlando
33884,Orlando
32754,Orlando
34711,Orlando
34715,Orlando
34734,Orlando
34739,Orlando
34741,Orlando
34743,Orlando
34744,Orlando
34746,Orlando
34747,Orlando
34756,Orlando
34758,Orlando
34760,Orlando
34761,Orlando
34769,Orlando
34770,Orlando
34771,Orlando
34772,Orlando
34786,Orlando
34787,Orlando
07001,NJ
07002,NJ
07003,NJ
07004,NJ
07006,NJ
07008,NJ
07009,NJ
07010,NJ
07011,NJ
07012,NJ
07013,NJ
07014,NJ
07016,NJ
07017,NJ
07018,NJ
07020,NJ
07021,NJ
